Choose date,City,Customer Name,Customer Segment,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Category/Categories,Customer Age,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Select Meaure name,Shipping Cost,Unit Price
Jan-12,McKeesport,Jessica Myrick,Small Business,01-01-2012,28774,High,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,East,4031,02-01-2012,Regular Air,Pennsylvania,15131,Category,,0.1,1,32,0.68,-$112,$180,32,4.69,5.98
Jan-12,Bowie,Matt Collister,Home Office,01-01-2012,13729,Not Specified,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,East,1914,03-01-2012,Express Air,Maryland,20715,Category,,0.08,1,9,,-$343,$872,9,35,95.99
Jan-12,Napa,Alan Schoenberger,Corporate,02-01-2012,37537,Low,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,West,5272,02-01-2012,Delivery Truck,California,94559,Category,,0,1,4,0.56,-$193,"$1,239",4,48.8,291.73
Jan-12,Montebello,Elizabeth Moffitt,Consumer,02-01-2012,44069,Critical,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,West,6225,02-01-2012,Regular Air,California,90640,Category,,0.08,1,43,0.39,$248,$615,43,1.97,15.04
Jan-12,Napa,Alan Schoenberger,Corporate,02-01-2012,37537,Low,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,West,5273,04-01-2012,Delivery Truck,California,94559,Category,,0.07,1,43,0.69,"-$1,050","$4,083",43,45,100.98
Jan-12,Montebello,Elizabeth Moffitt,Consumer,02-01-2012,44069,Critical,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,West,6224,04-01-2012,Express Air,California,90640,Category,,0.09,1,16,0.4,$27,$138,16,2.15,9.11
Jan-12,Prior Lake,David Philippe,Consumer,02-01-2012,9285,Critical,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,Central,1279,04-01-2012,Regular Air,Minnesota,55372,Category,,0.06,1,3,0.36,-$12,$125,3,2.99,40.98
Jan-12,Napa,Alan Schoenberger,Corporate,02-01-2012,37537,Low,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,West,5274,09-01-2012,Regular Air,California,94559,Category,,0.05,1,32,0.59,"$1,438","$4,902",32,7.07,155.06
Jan-12,Phenix City,Patrick Jones,Home Office,03-01-2012,40354,High,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,South,5705,04-01-2012,Delivery Truck,Alabama,36869,Category,,0.09,1,4,0.64,-$93,$698,4,52.2,212.6
Jan-12,Draper,Larry Tron,Home Office,03-01-2012,9762,High,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,West,1336,04-01-2012,Regular Air,Utah,84020,Category,,0.05,1,12,0.78,-$146,$263,12,21.2,20.98
Jan-12,Phenix City,Patrick Jones,Home Office,03-01-2012,40354,High,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,South,5704,04-01-2012,Regular Air,Alabama,36869,Category,,0.03,1,29,0.37,$13,$173,29,2.99,5.58
Jan-12,Lake Oswego,Alex Russell,Home Office,03-01-2012,7909,High,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,West,1074,04-01-2012,Regular Air,Oregon,97035,Category,,0.03,1,29,0.44,$25,$122,29,1.2,4.26
Jan-12,Kearney,Bill Donatelli,Corporate,03-01-2012,30016,Critical,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,Central,4223,05-01-2012,Regular Air,Nebraska,68847,Category,,0.03,1,15,0.4,-$42,$86,15,5.66,5.28
Jan-12,Layton,Ann Steele,Corporate,03-01-2012,11972,Not Specified,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,West,1663,05-01-2012,Delivery Truck,Utah,84041,Category,,0,1,4,0.59,-$452,$896,4,14.7,213.45
Jan-12,Baton Rouge,Andy Reiter,Corporate,03-01-2012,9637,Low,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,South,1315,05-01-2012,Regular Air,Louisiana,70802,Category,,0.08,1,12,0.66,-$236,$522,12,16.71,43.22
Jan-12,Kearney,Bill Donatelli,Corporate,03-01-2012,30016,Critical,Technology,Small Box,T18,Telephones and Communication,Central,4224,06-01-2012,Regular Air,Nebraska,68847,Category,,0.01,1,8,0.57,-$213,$755,8,2.5,110.99
Jan-12,Baton Rouge,Andy Reiter,Corporate,03-01-2012,9637,Low,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,South,1317,07-01-2012,Regular Air,Louisiana,70802,Category,,0.04,1,12,0.36,$32,$124,12,2.27,10.14
Jan-12,Baton Rouge,Andy Reiter,Corporate,03-01-2012,9637,Low,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,South,1316,10-01-2012,Regular Air,Louisiana,70802,Category,,0.05,1,49,0.37,"$14,440","$28,359",49,24.49,574.74
Jan-12,Bryan,Dave Hallsten,Home Office,04-01-2012,49730,High,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,Central,6953,05-01-2012,Delivery Truck,Texas,77803,Category,,0.06,1,3,0.61,-$395,"$1,040",3,30,350.98
Jan-12,Pharr,Tamara Dahlen,Corporate,04-01-2012,8710,Critical,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,Central,1193,05-01-2012,Regular Air,Texas,78577,Category,,0.03,1,17,0.4,-$76,$63,17,6.27,3.36
Jan-12,Pharr,Tamara Dahlen,Corporate,04-01-2012,8710,Critical,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,Central,1194,06-01-2012,Express Air,Texas,78577,Category,,0.07,1,42,0.35,$8,$151,42,1.93,3.71
Jan-12,Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,Central,8013,05-01-2012,Regular Air,Texas,76021,Category,,0.07,1,48,0.6,-$335,"$12,636",48,35,279.48
Jan-12,Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Technology,Small Box,232,Telephones and Communication,Central,8015,05-01-2012,Regular Air,Texas,76021,Category,,0.04,1,25,0.55,$667,"$2,750",25,5.26,125.99
Jan-12,Dubuque,Marina Lichtenstein,Corporate,05-01-2012,32418,Not Specified,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Central,4555,06-01-2012,Delivery Truck,Iowa,52001,Category,,0.08,1,5,0.55,-$131,"$1,244",5,43.32,243.98
Jan-12,Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,Central,8014,06-01-2012,Regular Air,Texas,76021,Category,,0.08,1,49,0.7,-$139,$240,49,5.68,4.91
Jan-12,Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,Central,8011,06-01-2012,Regular Air,Texas,76021,Category,,0.08,1,43,0.58,$2,$78,43,0.75,1.81
Jan-12,Norman,Pauline Chand,Small Business,05-01-2012,28451,Critical,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,Central,3982,06-01-2012,Regular Air,Oklahoma,73071,Category,,0.02,1,41,0.59,"$2,593","$8,958",41,21.21,209.84
Jan-12,Ormond Beach,Valerie Dominguez,Corporate,05-01-2012,25601,Medium,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,South,3588,06-01-2012,Regular Air,Florida,32174,Category,,0.09,1,43,0.68,-$131,$257,43,4.69,5.98
Jan-12,Deer Park,Dorris Love,Home Office,05-01-2012,290,Not Specified,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,East,47,06-01-2012,Regular Air,New York,11729,Category,,0.05,1,24,0.36,-$32,$189,24,5.83,7.64
